text,clean_text,label,label_final,binary_label,label_merge
"Saya pernah menolak tawaran untuk menjadi anggota OSIS di SMA karena saya berpikir pekerjaannya akan sulit. Akan tetapi, setelah berjalannya waktu ternyata menjadi anggota OSIS tidak seburuk yabg saya pikirkan. Di sana saya berpikir, $seharusnya saya mengambil saja tawaran itu.$","saya pernah menolak tawaran untuk menjadi anggota osis di sma karena saya berpikir pekerjaannya akan sulit. akan tetapi, setelah berjalannya waktu ternyata menjadi anggota osis tidak seburuk yabg saya pikirkan. di sana saya berpikir, $seharusnya saya mengambil saja tawaran itu.$",Should statement,Should statement,Ya,Should statement → Ya
"Faktanya, mereka berbohong kepada saya.","faktanya, mereka berbohong kepada saya.",Emotional Reasoning,Personalization and Blame,Ya,Emotional Reasoning → Ya
Tidak beda jauh dengan contoh pada saat saya melakukan pementasan kesenian gamelan untuk kegiatan keagamaan maupun kesenian (ngayah) $seharusnya saya tidak banyak melakukan kesalahan sehingga mengacaukan kegiatan tersebut$,tidak beda jauh dengan contoh pada saat saya melakukan pementasan kesenian gamelan untuk kegiatan keagamaan maupun kesenian (ngayah) $seharusnya saya tidak banyak melakukan kesalahan sehingga mengacaukan kegiatan tersebut$,Should statement,Should statement,Ya,Should statement → Ya
"Tidak melabeli orang lain negatif atau positif namun lebih melabeli orang"" yg sebaiknya dihindari","tidak melabeli orang lain negatif atau positif namun lebih melabeli orang"" yg sebaiknya dihindari",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya seringkali merasa bahwa $saya harus memiliki nilai yang baik atau bahkan sempurna pada saat perkuliahan$. Setelah mendapatkan nilai yang sebenarnya itu cukup namun saya seringkali merasa kecewa karena tidak sesuai dengan yang saya harapkan.,saya seringkali merasa bahwa $saya harus memiliki nilai yang baik atau bahkan sempurna pada saat perkuliahan$. setelah mendapatkan nilai yang sebenarnya itu cukup namun saya seringkali merasa kecewa karena tidak sesuai dengan yang saya harapkan.,Should statement,Should statement,Ya,Should statement → Ya
Perasaan ini sering terjadi. Saya sering menginap di kos kerabat saya karena ada kepentingan tertentu. $lama kelamaan saya merasa kerabat saya risih karena saya terus menginap.$ Padahal ia tidak ada menunjukkan tanda-tanda risih atau apapun itu.,perasaan ini sering terjadi. saya sering menginap di kos kerabat saya karena ada kepentingan tertentu. $lama kelamaan saya merasa kerabat saya risih karena saya terus menginap.$ padahal ia tidak ada menunjukkan tanda-tanda risih atau apapun itu.,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Tidak ada,saya selalu mencoba lebih baik,kegagalan merupakan bagian dari proses.","tidak ada,saya selalu mencoba lebih baik,kegagalan merupakan bagian dari proses.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saya pernah mengalami kejadian pada saat itu saya saling bertatapan pada teman saya tetapi waktu saya tersenyum kepadanya ia tidak ada respon apa apa, sehingga saya merasa mempunyai kesalahan pada teman saya yang membuat $saya berpikir negatif kepada teman saya$.","saya pernah mengalami kejadian pada saat itu saya saling bertatapan pada teman saya tetapi waktu saya tersenyum kepadanya ia tidak ada respon apa apa, sehingga saya merasa mempunyai kesalahan pada teman saya yang membuat $saya berpikir negatif kepada teman saya$.",Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Saya pernah melakukan kesalahan ketika menjadi panitia dkv untuk acara cup sekolah, dimana saya terus-terusan mendapat revisi karena hasil design/gambaran saya dan tim saya kurang sesuai dengan selera ketua pelaksana dan crew lainnya","saya pernah melakukan kesalahan ketika menjadi panitia dkv untuk acara cup sekolah, dimana saya terus-terusan mendapat revisi karena hasil design/gambaran saya dan tim saya kurang sesuai dengan selera ketua pelaksana dan crew lainnya",No Distortion,No Distortion,Tidak,No Distortion → Tidak
$ketika saya mendapat pujian di kampus namun saya merasa saya tetap kurang belajar dan tidak tahu apa apa$ karena seharusnya kemarin jam belajar saya kurang dari jam belajar biasanya,$ketika saya mendapat pujian di kampus namun saya merasa saya tetap kurang belajar dan tidak tahu apa apa$ karena seharusnya kemarin jam belajar saya kurang dari jam belajar biasanya,Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"saya terus gagal untuk menggapai komunikasi bersama orang yang saya sayang. dia pergi karena suatu hari saya ceroboh akan sikap saya sehingga itu yang mentriggered dia untuk meninggalkan saya. sampai sekarang saya merasa saya sangat kesepian dan merasa saya sangat hancur terhadap perlakuan saya ke orang orang sehingga saya hanya perlu dia untuk bicara kepada saya, komunikasi supaya saya bisa jelaskan semuanya kepada dia dan membetulkan diri saya sendiri.","saya terus gagal untuk menggapai komunikasi bersama orang yang saya sayang. dia pergi karena suatu hari saya ceroboh akan sikap saya sehingga itu yang mentriggered dia untuk meninggalkan saya. sampai sekarang saya merasa saya sangat kesepian dan merasa saya sangat hancur terhadap perlakuan saya ke orang orang sehingga saya hanya perlu dia untuk bicara kepada saya, komunikasi supaya saya bisa jelaskan semuanya kepada dia dan membetulkan diri saya sendiri.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya sering berpikir bahwa $saya adalah orang yang tidak beruntung di bidang kreatif$ karena ia tidak mempunyai bakat di bidang seni,saya sering berpikir bahwa $saya adalah orang yang tidak beruntung di bidang kreatif$ karena ia tidak mempunyai bakat di bidang seni,Labeling,All-or-nothing,Ya,Labeling → Ya
$Saya menyatakan diri saya sangat bodoh$ ketika saya tidak bisa memahami suatu pelajaran. $Bahkan mengatakan diri saya sangat-sangat bodoh$,$saya menyatakan diri saya sangat bodoh$ ketika saya tidak bisa memahami suatu pelajaran. $bahkan mengatakan diri saya sangat-sangat bodoh$,Labeling,All-or-nothing,Ya,Labeling → Ya
$Saat mendapat nilai bagus dan hanya dilihat sebagai hal yang kebetulan$,$saat mendapat nilai bagus dan hanya dilihat sebagai hal yang kebetulan$,Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"Saya menjadi ketua osis di sekolah sebelumnya, ada banyak sekali ketimpangan dalam organisasi tersebut yang dipengaruhi oleh ego setiap bagian dari organisasi, dan $saya merasa gagal dalam menumbuhkan rasa kekeluargaan di organisasi tersebut.$","saya menjadi ketua osis di sekolah sebelumnya, ada banyak sekali ketimpangan dalam organisasi tersebut yang dipengaruhi oleh ego setiap bagian dari organisasi, dan $saya merasa gagal dalam menumbuhkan rasa kekeluargaan di organisasi tersebut.$",Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
"Ketika ospek ada kesalahan, sebagai ketua saya merasa hal tersebut karena perbuatan saya.","ketika ospek ada kesalahan, sebagai ketua saya merasa hal tersebut karena perbuatan saya.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
melihat temen saya yang menceritakan tentang teman saya yang dibilang menilep uang proker tanpa tau kebenaran sesungguhnya,melihat temen saya yang menceritakan tentang teman saya yang dibilang menilep uang proker tanpa tau kebenaran sesungguhnya,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya mulai bekerja sambil kuliah untuk mencari uang jajan. $Saya merasa itu hal yg sangat berat tetapi mendengat cerita masa muda ibu saya yg bekerja 3 pekerjaan dalam sehari membuat saya merasa saya tidak patut untuk dibanggakan$ walaupun sudah tidak bergantung dengan orang tua,saya mulai bekerja sambil kuliah untuk mencari uang jajan. $saya merasa itu hal yg sangat berat tetapi mendengat cerita masa muda ibu saya yg bekerja 3 pekerjaan dalam sehari membuat saya merasa saya tidak patut untuk dibanggakan$ walaupun sudah tidak bergantung dengan orang tua,Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"saya pernah melihat orang dengan penampilan yang biasa saja namun dengan pembawaan petantang-petenteng $saya menggap orang seperti itu tidak benar$, namun ketika lebih dekat dengannya ternyata dia tidak seburuk itu","saya pernah melihat orang dengan penampilan yang biasa saja namun dengan pembawaan petantang-petenteng $saya menggap orang seperti itu tidak benar$, namun ketika lebih dekat dengannya ternyata dia tidak seburuk itu",Labeling,All-or-nothing,Ya,Labeling → Ya
"Saya berpikir $"" Saya adalah anak yang bodoh, malas, tidak bisa membahagiakan orang tua""$ karena saya mendapatkan rangking yang rendah di skolah","saya berpikir $"" saya adalah anak yang bodoh, malas, tidak bisa membahagiakan orang tua""$ karena saya mendapatkan rangking yang rendah di skolah",Labeling,All-or-nothing,Ya,Labeling → Ya
Saya dari dulu selalu $melabel kan diri sebagai seorang introvert$ dan ini selalu menjadi alasan ketika diajak keluar sama teman,saya dari dulu selalu $melabel kan diri sebagai seorang introvert$ dan ini selalu menjadi alasan ketika diajak keluar sama teman,Labeling,All-or-nothing,Ya,Labeling → Ya
Masalah pada saat kerja kelompok,masalah pada saat kerja kelompok,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya pernah merasa bahwa saya yang menyebabkan orang tua saya mengalami kecelakaan lalu lintas,saya pernah merasa bahwa saya yang menyebabkan orang tua saya mengalami kecelakaan lalu lintas,Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
Pada saat SMK ada satu peristiwa yaitu turunnya rangking saya dan disana saya berpikir $seharusnya saya tidak terlalu bersantai pada saat rangking saya yang ada di posisi atas$ jadi selama beberapa bulan saya tidak ada mood untuk belajar lebih.,pada saat smk ada satu peristiwa yaitu turunnya rangking saya dan disana saya berpikir $seharusnya saya tidak terlalu bersantai pada saat rangking saya yang ada di posisi atas$ jadi selama beberapa bulan saya tidak ada mood untuk belajar lebih.,Should statement,Should statement,Ya,Should statement → Ya
kadang saya tidak sadar memberikan perhatian atau bersikap baik berlebihan kepada orang lain. cukup banyak orang orang mengira saya memberikan mereka harapan palsu karena mereka kira saya menyukai mereka dalam maksud percintaan. sejak saat itu $saya merasa seharusnya saya dapat membatasi diri saya terhadap orang orang$ yang memang sangat peka terhadap perasaan atau dapat dikatakan cukup baperan.,kadang saya tidak sadar memberikan perhatian atau bersikap baik berlebihan kepada orang lain. cukup banyak orang orang mengira saya memberikan mereka harapan palsu karena mereka kira saya menyukai mereka dalam maksud percintaan. sejak saat itu $saya merasa seharusnya saya dapat membatasi diri saya terhadap orang orang$ yang memang sangat peka terhadap perasaan atau dapat dikatakan cukup baperan.,Should statement,Should statement,Ya,Should statement → Ya
$Saya merasa saya melakukan kesalahan$ ketika seseorang tidak membalas pesan saya dengan segera.,$saya merasa saya melakukan kesalahan$ ketika seseorang tidak membalas pesan saya dengan segera.,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Ketika duduk di bangku SMP, saya mengalami kegagalan yang terjadi berulang kali. Baik dalam kegiatan lomba maupun voluunteer. Di setiap ajang kompetisi maupun pertandingan yang saya ikuti, tim saya selalu memeroleh kegagalan, entah itu peringkat yang diperoleh tidak terlalu bagus atau bahkan tidak membawa pulang juara apapun. Sebenarnya, ketika mengalami hal tersebut sekali dua kali, saya tidak merasakan bahwa kegagalan tersebut bisa saja disebabkan oleh saya, akan tetapi pikiran tersebut mulai muncul seiring tingginya ekspektasi keluarga hingga guru di sekolah karena melihat nilai saya yang relatif tinggi. $Saya merasa bahwa semua kegagalan yang dialami saya dan tim saya disebabkan oleh hasil atau karma saya yang kurang keras serta tidak bisa konsisten dalam belajar dan terlalu menganggap enteng suatu kompetisi.$ Namun, di satu sisi saya menyadari bahwa saya bukan tipe orang yang suka berkompetisi untuk membuktikan bahwa saya itu mampu, melainkan cukup dengan memahami materi dan dapat mengajarkannya dengan baik kepada orang lain hingga mereka sama pahamnya dengan saya. Disebabkan hal tersebut, $ketika melanjutkan pendidikan di SMA, saya memilih untuk tidak mengikuti kompetisi apapun atau tetap mengikutinya tetapi tanpa menginformasikan kegiatan tersebut kepada siapapun karena saya merasa terbebani dan justru memandang rendah diri saya sendiri (tidak percaya akan kemampuan diri sendiri).$","ketika duduk di bangku smp, saya mengalami kegagalan yang terjadi berulang kali. baik dalam kegiatan lomba maupun voluunteer. di setiap ajang kompetisi maupun pertandingan yang saya ikuti, tim saya selalu memeroleh kegagalan, entah itu peringkat yang diperoleh tidak terlalu bagus atau bahkan tidak membawa pulang juara apapun. sebenarnya, ketika mengalami hal tersebut sekali dua kali, saya tidak merasakan bahwa kegagalan tersebut bisa saja disebabkan oleh saya, akan tetapi pikiran tersebut mulai muncul seiring tingginya ekspektasi keluarga hingga guru di sekolah karena melihat nilai saya yang relatif tinggi. $saya merasa bahwa semua kegagalan yang dialami saya dan tim saya disebabkan oleh hasil atau karma saya yang kurang keras serta tidak bisa konsisten dalam belajar dan terlalu menganggap enteng suatu kompetisi.$ namun, di satu sisi saya menyadari bahwa saya bukan tipe orang yang suka berkompetisi untuk membuktikan bahwa saya itu mampu, melainkan cukup dengan memahami materi dan dapat mengajarkannya dengan baik kepada orang lain hingga mereka sama pahamnya dengan saya. disebabkan hal tersebut, $ketika melanjutkan pendidikan di sma, saya memilih untuk tidak mengikuti kompetisi apapun atau tetap mengikutinya tetapi tanpa menginformasikan kegiatan tersebut kepada siapapun karena saya merasa terbebani dan justru memandang rendah diri saya sendiri (tidak percaya akan kemampuan diri sendiri).$",Magnification or Minimization,Mental filter,Ya,Magnification or Minimization → Ya
$Saat saya mendapat nilai rendah di tugas/Quis yang diberikan oleh dosen saya selalu merasa melakukan kesalahan yang besar$,$saat saya mendapat nilai rendah di tugas/quis yang diberikan oleh dosen saya selalu merasa melakukan kesalahan yang besar$,Magnification or Minimization,Mental filter,Ya,Magnification or Minimization → Ya
Jika saya tidak diapresiasi maka saya tidak berhasil membuat bangga,jika saya tidak diapresiasi maka saya tidak berhasil membuat bangga,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saya menerima cukup banyak pujian atas presentasi esay dalam kegiatan pemilihan jegeg bagus FMIPA 2023, namun salah satu juri memberikan komentar yang sedikit mengkritisi. $Saya terus memikirkan satu komentar negatif tersebut dan mengabaikan lebih banyak pujian yang diterimanya. $","saya menerima cukup banyak pujian atas presentasi esay dalam kegiatan pemilihan jegeg bagus fmipa 2023, namun salah satu juri memberikan komentar yang sedikit mengkritisi. $saya terus memikirkan satu komentar negatif tersebut dan mengabaikan lebih banyak pujian yang diterimanya. $",Mental filter,Mental filter,Ya,Mental filter → Ya
"Saya selalu memikirkan pendapat orang lain mengenai Saya, Karena saya pernah jadi korban bullying","saya selalu memikirkan pendapat orang lain mengenai saya, karena saya pernah jadi korban bullying",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Ketika mengalami kegagalan maka kedepannya saya juga berpikir bahwa saya akan mengulangi hal yang sama,ketika mengalami kegagalan maka kedepannya saya juga berpikir bahwa saya akan mengulangi hal yang sama,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Sering kali $mengecilkan kemampuan untuk memimpin karena sifat malu$,sering kali $mengecilkan kemampuan untuk memimpin karena sifat malu$,Emotional Reasoning,Personalization and Blame,Ya,Emotional Reasoning → Ya
Pernah suatu kali $saya yakin bahwa seseorang menyimpan dendam pada saya$ hanya karena saya merasa begitu tanpa memiliki bukti atau alasan logis yang kuat untuk keyakinan tersebut.,pernah suatu kali $saya yakin bahwa seseorang menyimpan dendam pada saya$ hanya karena saya merasa begitu tanpa memiliki bukti atau alasan logis yang kuat untuk keyakinan tersebut.,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Setelah melaksanakan ujian semester, saya merasa bahwa apa yang saya kerjakan tidak maksimal padahal saya sudah belajar, dan $harusnya materi yang saya pelajari harus lebih dari yang diberikan oleh dosen$, saya merasa telah gagal dan sangat sedih merasa dikhianati dengan apa yang sudah saya usahakan","setelah melaksanakan ujian semester, saya merasa bahwa apa yang saya kerjakan tidak maksimal padahal saya sudah belajar, dan $harusnya materi yang saya pelajari harus lebih dari yang diberikan oleh dosen$, saya merasa telah gagal dan sangat sedih merasa dikhianati dengan apa yang sudah saya usahakan",Should statement,Should statement,Ya,Should statement → Ya
$melabel seseorang apabila dia tidak sopan dan tidak ramah$,$melabel seseorang apabila dia tidak sopan dan tidak ramah$,Labeling,All-or-nothing,Ya,Labeling → Ya
"Setelah saya melakukan ujian,saya mengatakan pada diri saya""$harusnya saya menjawab pertanyaan dengan sungguh-sungguh$""","setelah saya melakukan ujian,saya mengatakan pada diri saya""$harusnya saya menjawab pertanyaan dengan sungguh-sungguh$""",Should statement,Should statement,Ya,Should statement → Ya
"Kakak saya dulu bercerita pada saya betapa kerasnya hidup ini,dia bercerita jangan sampai nanti salah jurusan seperti dia,karena saya dulu bercita²menjadi se orang polisi dan tidak sanggup untuk menjalani latihannya,dan sekarang saya berfokus kepada minat saya,yaitu di bidang IT","kakak saya dulu bercerita pada saya betapa kerasnya hidup ini,dia bercerita jangan sampai nanti salah jurusan seperti dia,karena saya dulu bercita²menjadi se orang polisi dan tidak sanggup untuk menjalani latihannya,dan sekarang saya berfokus kepada minat saya,yaitu di bidang it",No Distortion,No Distortion,Tidak,No Distortion → Tidak
$Saya pernah merasa bersalah ketika ayah saya mengalami kecelakaan.$ Sebelum kejadian beliau sempat mengirimkan indikator mesin yang menyala di motornya. Saya sering berandai bahwa saya seharusnya mengingatkan beliau untuk pulang pada saat itu supaya terhindarkan dari kecelakaan,$saya pernah merasa bersalah ketika ayah saya mengalami kecelakaan.$ sebelum kejadian beliau sempat mengirimkan indikator mesin yang menyala di motornya. saya sering berandai bahwa saya seharusnya mengingatkan beliau untuk pulang pada saat itu supaya terhindarkan dari kecelakaan,Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
Suatu saat kepanitiian di kampus memberi saya tugas tapi saya ga mengerjakanya jadi kepanitiaan tersebut menjadi terhambat,suatu saat kepanitiian di kampus memberi saya tugas tapi saya ga mengerjakanya jadi kepanitiaan tersebut menjadi terhambat,No Distortion,No Distortion,Tidak,No Distortion → Tidak
saya menyebabkan teman saya di marah oleh dosen karena saya terlambat datang ke kampus saat kelompok kami persentasi,saya menyebabkan teman saya di marah oleh dosen karena saya terlambat datang ke kampus saat kelompok kami persentasi,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saat itu dia baru bekerja di Ubud, lalu putus dengan saya, dan tentu saja dia selingkuh dengan wanita yang dia posting di IG pribadinya.","saat itu dia baru bekerja di ubud, lalu putus dengan saya, dan tentu saja dia selingkuh dengan wanita yang dia posting di ig pribadinya.",Emotional Reasoning,Personalization and Blame,Ya,Emotional Reasoning → Ya
Lalu saya pikir saya melakukan kesalahan besar dalam mempresentasikan karya saya.,lalu saya pikir saya melakukan kesalahan besar dalam mempresentasikan karya saya.,Magnification or Minimization,Mental filter,Ya,Magnification or Minimization → Ya
$Dulu saya pernah diajak sodara jalan jalan ke waterboom tapi saya tidak diijinkan oleh tante dan paman jadi saya merasa diasingkan dan tidak diajak$,$dulu saya pernah diajak sodara jalan jalan ke waterboom tapi saya tidak diijinkan oleh tante dan paman jadi saya merasa diasingkan dan tidak diajak$,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"ketika $banyak temen saya yang mempercayakan saya menjadi leader dalam suatu tim , ada banyak yang setuju tetapi saya juga mendengar beberapa temen saya yang bilang saya tidak bisa menjadi leader yang baik,dan saya menjadi tidak yakin dengan diri saya sendiri.$","ketika $banyak temen saya yang mempercayakan saya menjadi leader dalam suatu tim , ada banyak yang setuju tetapi saya juga mendengar beberapa temen saya yang bilang saya tidak bisa menjadi leader yang baik,dan saya menjadi tidak yakin dengan diri saya sendiri.$",Mental filter,Mental filter,Ya,Mental filter → Ya
Ketika saya menegur teman dan dia tidak menghiraukannya maka saya tidak menghiraukan dia lagi.,ketika saya menegur teman dan dia tidak menghiraukannya maka saya tidak menghiraukan dia lagi.,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"saat mengikuti lomba tarik tambang di sekolah, $saya seharusnya tidak ikut menjadi peserta dan membuat kelas saya kalah$","saat mengikuti lomba tarik tambang di sekolah, $saya seharusnya tidak ikut menjadi peserta dan membuat kelas saya kalah$",Should statement,Should statement,Ya,Should statement → Ya
pada saat bercerita dan bergurau kepada teman- teman,pada saat bercerita dan bergurau kepada teman- teman,No Distortion,No Distortion,Tidak,No Distortion → Tidak
saya pernah $mengganggap senior saya negatif karena dia tidak pernah berkomunikasi dengan bagus kepada saya$,saya pernah $mengganggap senior saya negatif karena dia tidak pernah berkomunikasi dengan bagus kepada saya$,Mind Reading,Jumping to Conclusions,Ya,Mind Reading → Ya
"Ketika saya memenangkan sebuah perlombaan, saya berpikir bahwa ini bukan hal yang luarbiasa karena $saingan yang saya hadapi tidak seperti lomba-lomba sebelumnya$ sehingga saya kurang mengapresiasi diri saya.","ketika saya memenangkan sebuah perlombaan, saya berpikir bahwa ini bukan hal yang luarbiasa karena $saingan yang saya hadapi tidak seperti lomba-lomba sebelumnya$ sehingga saya kurang mengapresiasi diri saya.",Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"saya memiliki pemikiran yang sangat harus atau seharusnya.Saat itu, saya merasa sangat tertekan oleh ekspektasi diri sendiri. Contohnya, saat saya menghadapi tenggat waktu yang ketat untuk menyelesaikan sebuah tugas saya berpikir, ""$Saya harus menyelesaikan tugas ini sebelum tenggat waktu berakhir$","saya memiliki pemikiran yang sangat harus atau seharusnya.saat itu, saya merasa sangat tertekan oleh ekspektasi diri sendiri. contohnya, saat saya menghadapi tenggat waktu yang ketat untuk menyelesaikan sebuah tugas saya berpikir, ""$saya harus menyelesaikan tugas ini sebelum tenggat waktu berakhir$",Should statement,Should statement,Ya,Should statement → Ya
Saya merasa seperti hancur dan tidak pernah bisa tumbuh.,saya merasa seperti hancur dan tidak pernah bisa tumbuh.,Magnification or Minimization,Mental filter,Ya,Magnification or Minimization → Ya
"ketika saya tidak sengaja membuat kesalahan kecil kepada teman saya, saya akan merasa bahwa saya telah melakukan kesalahan besar","ketika saya tidak sengaja membuat kesalahan kecil kepada teman saya, saya akan merasa bahwa saya telah melakukan kesalahan besar",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya lulus SBMPTN di pilihan kedua namun saya merasa hal itu bukanlah hal yang membanggakan. Karena $saya berpikir saya bodoh dan hanya beruntung lolos di pilihan kedua.$,saya lulus sbmptn di pilihan kedua namun saya merasa hal itu bukanlah hal yang membanggakan. karena $saya berpikir saya bodoh dan hanya beruntung lolos di pilihan kedua.$,Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"waktu smo saya sering mengikuti lomba ketangkasan baris berbaris, latian setiap hari dan sebulan sebelum lomba biasanya akan latihan setiap hari, panas panasan, capek, tapi waktu lomba jarang mendapat juara 1, $saya merasa karena saya kurang maksimal saat lomba paskibra$","waktu smo saya sering mengikuti lomba ketangkasan baris berbaris, latian setiap hari dan sebulan sebelum lomba biasanya akan latihan setiap hari, panas panasan, capek, tapi waktu lomba jarang mendapat juara 1, $saya merasa karena saya kurang maksimal saat lomba paskibra$",Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
"Ketika mama curhat tentang sesuatu sambil menangis tapi saya malah bilang buat apa menangis, setelah bilang hal tersebut besoknya mama masuk rs disitu $saya merasa sangat bersalah, karena merasa setelah saya berkata seperti itu mama saya jadi sakit$","ketika mama curhat tentang sesuatu sambil menangis tapi saya malah bilang buat apa menangis, setelah bilang hal tersebut besoknya mama masuk rs disitu $saya merasa sangat bersalah, karena merasa setelah saya berkata seperti itu mama saya jadi sakit$",Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
Saya tidak pernah memiliki pemikiran tersebut,saya tidak pernah memiliki pemikiran tersebut,No Distortion,No Distortion,Tidak,No Distortion → Tidak
Saya pernah di tolak cewek di suatu hari saya sempet befikir $bahwa saya akan selalu tidak pernah bisa deket dengan cewek$ karna saya selalu berfikir begitu hakir nyaa nilai ulangan saya hancur,saya pernah di tolak cewek di suatu hari saya sempet befikir $bahwa saya akan selalu tidak pernah bisa deket dengan cewek$ karna saya selalu berfikir begitu hakir nyaa nilai ulangan saya hancur,Overgeneralization,Jumping to Conclusions,Ya,Overgeneralization → Ya
"$Saya pernah melabeli ""aneh""$ terhadap teman saya karena sifat, sikap, dan pemikirannya selalu tidak cocok dengan hampir seluruh teman sekelas dan di luar kelas","$saya pernah melabeli ""aneh""$ terhadap teman saya karena sifat, sikap, dan pemikirannya selalu tidak cocok dengan hampir seluruh teman sekelas dan di luar kelas",Labeling,All-or-nothing,Ya,Labeling → Ya
"Saya selalu merasa kagum kepada orang-orang yang berhasil mencapai aktualisasi diri mereka. Saya memandang kesuksesan dalam bidang perkembangan diri, seseorang berhasil mengembangkan sosok impiannya atau justru tidak berkambang, masih tenggelam dalam zona nyaman dan kehidupan monotonnya saja.","saya selalu merasa kagum kepada orang-orang yang berhasil mencapai aktualisasi diri mereka. saya memandang kesuksesan dalam bidang perkembangan diri, seseorang berhasil mengembangkan sosok impiannya atau justru tidak berkambang, masih tenggelam dalam zona nyaman dan kehidupan monotonnya saja.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saya pernah dilihat oleh seseorang dengan pandangan yang julid, sehingga saya merasa takut atau tidak mau bertemu dengan orang tersebut","saya pernah dilihat oleh seseorang dengan pandangan yang julid, sehingga saya merasa takut atau tidak mau bertemu dengan orang tersebut",No Distortion,No Distortion,Tidak,No Distortion → Tidak
saya merasa kecil dengan karya saya karena ketika saya melihat sosial media $banyak anak yang lebih muda dari saya melakukan hal yang lebih baik$,saya merasa kecil dengan karya saya karena ketika saya melihat sosial media $banyak anak yang lebih muda dari saya melakukan hal yang lebih baik$,Discounting the positives,Discounting the positives,Ya,Discounting the positives → Ya
"saat kuliah saya punya penyesalan, $seharusnya kalo saya bisa luangkan waktu untuk latihan (bukan cuma nugas dan ikut kepanitiaan saja), maka hardskill saya pasti sudah jauh lebih baik$ dibandingkan sekarang.","saat kuliah saya punya penyesalan, $seharusnya kalo saya bisa luangkan waktu untuk latihan (bukan cuma nugas dan ikut kepanitiaan saja), maka hardskill saya pasti sudah jauh lebih baik$ dibandingkan sekarang.",Should statement,Should statement,Ya,Should statement → Ya
Waktu itu aku punya seorang teman kita begitu dekat. semua yang kita lakukan selalu bersama hingga waktu itu dia mengenalkan temannya padaku dan hari itu mereka terlihat bersama dan aku menjauhkan diriku dari mereka karena aku merasa temanku udah gak mau lagi berteman denganku karena sudah mendapatkan teman baru dan aku sedih dan aku berpikir bahwa aku akan sendiri lagi. Tapi setelah beberapa saat dia kembali bersamaku dan menjadi temanku lagi.,waktu itu aku punya seorang teman kita begitu dekat. semua yang kita lakukan selalu bersama hingga waktu itu dia mengenalkan temannya padaku dan hari itu mereka terlihat bersama dan aku menjauhkan diriku dari mereka karena aku merasa temanku udah gak mau lagi berteman denganku karena sudah mendapatkan teman baru dan aku sedih dan aku berpikir bahwa aku akan sendiri lagi. tapi setelah beberapa saat dia kembali bersamaku dan menjadi temanku lagi.,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saya memiliki postur tubuh yang lebih tinggi jika dibandingkan dengan teman-teman saya saat SMP. $Banyak yang memuji karena hal itu dianggap sebagai sesuatu yang luar biasa berbeda, namun banyak juga stigma bahwa orang tinggi susah untuk mendapatkan pacar. Saya minder dan terus memikirkan hal tersebut.$","saya memiliki postur tubuh yang lebih tinggi jika dibandingkan dengan teman-teman saya saat smp. $banyak yang memuji karena hal itu dianggap sebagai sesuatu yang luar biasa berbeda, namun banyak juga stigma bahwa orang tinggi susah untuk mendapatkan pacar. saya minder dan terus memikirkan hal tersebut.$",Mental filter,Mental filter,Ya,Mental filter → Ya
"""Mengapa temanku lebih memilih bekerja daripada kuliah disaat orangtuanya masih mampu mencari uang?""","""mengapa temanku lebih memilih bekerja daripada kuliah disaat orangtuanya masih mampu mencari uang?""",No Distortion,No Distortion,Tidak,No Distortion → Tidak
